date,demand
2023-09-10,1097
2023-09-11,1725
2023-09-12,2057
2023-09-13,1982
2023-09-14,1809
2023-09-15,1937
2023-09-16,1792
2023-09-17,1023
2023-09-18,1776
2023-09-19,2341
2023-09-20,2113
2023-09-21,2256
2023-09-22,2365
2023-09-23,2471
2023-09-24,1311
2023-09-25,1317
2023-09-26,1826
2023-09-27,1350
2023-09-28,1108
2023-09-29,1524
2023-09-30,2095
2023-10-01,1360
2023-10-02,1546
2023-10-03,2375
2023-10-04,2319
2023-10-05,1978
2023-10-06,986
2023-10-07,1919
2023-10-08,373
2023-10-09,1655
2023-10-10,1615
2023-10-11,1385
2023-10-12,916
2023-10-13,1224
2023-10-14,1808
2023-10-15,1120
2023-10-16,2075
2023-10-17,2004
2023-10-18,2162
2023-10-19,2132
2023-10-20,1825
2023-10-21,1636
2023-10-22,1079
2023-10-23,914
2023-10-24,1829
2023-10-25,1696
2023-10-26,1651
2023-10-27,1825
2023-10-28,2096
2023-10-29,1078
2023-10-30,1812
2023-10-31,1808
2023-11-01,1273
2023-11-02,1404
2023-11-03,1335
2023-11-04,2403
2023-11-05,876
2023-11-06,2378
2023-11-07,1561
2023-11-08,1767
2023-11-09,1315
2023-11-10,1794
2023-11-11,2013
2023-11-12,1418
2023-11-13,2155
2023-11-14,2169
2023-11-15,1748
2023-11-16,1519
2023-11-17,1081
2023-11-18,1840
2023-11-19,529
2023-11-20,1139
2023-11-21,1776
2023-11-22,1433
2023-11-23,1430
2023-11-24,1451
2023-11-25,1940
2023-11-26,940
2023-11-27,1492
2023-11-28,1929
2023-11-29,1714
2023-11-30,1157
2023-12-01,985
2023-12-02,1432
2023-12-03,730
2023-12-04,1275
2023-12-05,1191
2023-12-06,949
2023-12-07,975
2023-12-08,713
2023-12-09,1332
2023-12-10,665
2023-12-11,1530
2023-12-12,1702
2023-12-13,1303
2023-12-14,1166
2023-12-15,816
2023-12-16,1053
2023-12-17,551
2023-12-18,1117
2023-12-19,1743
2023-12-20,1342
2023-12-21,1039
2023-12-22,989
2023-12-23,591
2023-12-24,1110
2023-12-25,1099
2023-12-26,1533
2023-12-27,905
2023-12-28,1615
2023-12-29,1429
2023-12-30,955
2023-12-31,1165
2024-01-01,835
2024-01-02,738
2024-01-03,853
2024-01-04,896
2024-01-05,1541
2024-01-06,1644
2024-01-07,751
2024-01-08,1090
2024-01-09,1319
2024-01-10,1319
2024-01-11,1211
2024-01-12,979
2024-01-13,1730
2024-01-14,899
2024-01-15,1433
2024-01-16,1321
2024-01-17,1400
2024-01-18,1194
2024-01-19,1509
2024-01-20,2103
2024-01-21,1068
2024-01-22,1570
2024-01-23,1332
2024-01-24,1052
2024-01-25,1034
2024-01-26,660
2024-01-27,1357
2024-01-28,756
2024-01-29,1515
2024-01-30,1714
2024-01-31,1396
2024-02-01,1199
2024-02-02,1178
2024-02-03,1025
2024-02-04,857
2024-02-05,2098
2024-02-06,1803
2024-02-07,1312
2024-02-08,1414
2024-02-09,1043
2024-02-10,1376
2024-02-11,779
2024-02-12,1874
2024-02-13,1609
2024-02-14,1382
2024-02-15,1397
2024-02-16,1325
2024-02-17,1217
2024-02-18,797
2024-02-19,1371
2024-02-20,1422
2024-02-21,1273
2024-02-22,803
2024-02-23,1077
2024-02-24,1646
2024-02-25,742
2024-02-26,1137
2024-02-27,1194
2024-02-28,1466
2024-02-29,1310
2024-03-01,1440
2024-03-02,2063
2024-03-03,972
2024-03-04,1802
2024-03-05,1511
2024-03-06,1584
2024-03-07,1263
2024-03-08,1243
2024-03-09,1832
2024-03-10,1250
2024-03-11,1744
2024-03-12,1664
2024-03-13,1560
2024-03-14,1221
2024-03-15,1156
2024-03-16,1728
2024-03-17,846
2024-03-18,1299
2024-03-19,1869
2024-03-20,1519
2024-03-21,1130
2024-03-22,1459
2024-03-23,1943
2024-03-24,1062
2024-03-25,1301
2024-03-26,1820
2024-03-27,1155
2024-03-28,1395
2024-03-29,1369
2024-03-30,2209
2024-03-31,1103
2024-04-01,899
2024-04-02,1895
2024-04-03,1665
2024-04-04,1735
2024-04-05,1211
2024-04-06,1474
2024-04-07,1381
2024-04-08,1967
2024-04-09,2483
2024-04-10,2235
2024-04-11,1698
2024-04-12,1499
2024-04-13,1317
2024-04-14,983
2024-04-15,1735
2024-04-16,2432
2024-04-17,2335
2024-04-18,1700
2024-04-19,2044
2024-04-20,2738
2024-04-21,1075
2024-04-22,1775
2024-04-23,2331
2024-04-24,2195
2024-04-25,1638
2024-04-26,1687
2024-04-27,2512
2024-04-28,1440
2024-04-29,2397
2024-04-30,2211
2024-05-01,2100
2024-05-02,1697
2024-05-03,1640
2024-05-04,2618
2024-05-05,1680
2024-05-06,1212
2024-05-07,2128
2024-05-08,2202
2024-05-09,1951
2024-05-10,2126
2024-05-11,2363
2024-05-12,1410
2024-05-13,1792
2024-05-14,2162
2024-05-15,2263
2024-05-16,2023
2024-05-17,2004
2024-05-18,2487
2024-05-19,1269
2024-05-20,1957
2024-05-21,2020
2024-05-22,2169
2024-05-23,1918
2024-05-24,2198
2024-05-25,2559
2024-05-26,775
2024-05-27,958
2024-05-28,1833
2024-05-29,1838
2024-05-30,2032
2024-05-31,2349
2024-06-01,2505
2024-06-02,1089
2024-06-03,2126
2024-06-04,2289
2024-06-05,1677
2024-06-06,2287
2024-06-07,2175
2024-06-08,2353
2024-06-09,871
2024-06-10,2205
2024-06-11,2437
2024-06-12,2392
2024-06-13,1551
2024-06-14,1163
2024-06-15,1630
2024-06-16,958
2024-06-17,2235
2024-06-18,2369
2024-06-19,2267
2024-06-20,2027
2024-06-21,2195
2024-06-22,2393
2024-06-23,1093
2024-06-24,1918
2024-06-25,2185
2024-06-26,1943
2024-06-27,2080
2024-06-28,1869
2024-06-29,2524
2024-06-30,836
2024-07-01,1834
2024-07-02,1971
2024-07-03,2037
2024-07-04,1902
2024-07-05,2097
2024-07-06,2535
2024-07-07,1926
2024-07-08,2358
2024-07-09,2508
2024-07-10,2249
2024-07-11,2130
2024-07-12,2489
2024-07-13,2865
2024-07-14,2606
2024-07-15,3256
2024-07-16,5251
