date,demand
2024-10-26,87631
2024-10-27,83972
2024-10-28,78162
2024-10-29,69436
2024-10-30,76088
2024-10-31,71191
2024-11-01,102968
2024-11-02,96827
2024-11-03,87138
2024-11-04,76219
2024-11-05,80537
2024-11-06,72195
2024-11-07,80618
2024-11-08,95924
2024-11-09,96781
2024-11-10,89846
2024-11-11,77294
2024-11-12,75993
2024-11-13,74792
2024-11-14,79457
2024-11-15,91349
2024-11-16,92510
2024-11-17,90521
2024-11-18,77877
2024-11-19,79645
2024-11-20,84201
2024-11-21,86302
2024-11-22,107881
2024-11-23,112850
2024-11-24,103776
2024-11-25,114713
2024-11-26,110008
2024-11-27,122853
2024-11-29,87979
2024-11-30,82707
2024-12-01,88830
2024-12-02,90428
2024-12-03,85351
2024-12-04,81606
2024-12-05,85638
2024-12-06,97709
2024-12-07,101563
2024-12-08,92388
2024-12-09,88325
2024-12-10,85493
2024-12-11,85344
2024-12-12,89397
2024-12-13,99464
2024-12-14,101919
2024-12-15,96350
2024-12-16,91739
2024-12-17,91016
2024-12-18,97339
2024-12-19,105047
2024-12-20,122286
2024-12-21,125253
2024-12-22,123370
2024-12-23,140873
2024-12-24,98005
2024-12-26,98065
2024-12-27,93362
2024-12-28,87007
2024-12-29,83512
2024-12-30,96095
2024-12-31,102981
2025-01-01,74019
2025-01-02,89270
2025-01-03,118813
2025-01-04,115369
2025-01-05,53226
2025-01-06,45573
2025-01-07,65795
2025-01-08,99736
2025-01-09,109186
2025-01-10,24997
2025-01-11,64099
2025-01-12,75358
2025-01-13,76236
2025-01-14,74212
2025-01-15,73959
2025-01-16,80420
2025-01-17,93012
2025-01-18,89969
2025-01-19,74436
2025-01-20,65452
2025-01-21,63028
2025-01-22,73308
2025-01-23,69421
2025-01-24,77027
2025-01-25,82115
2025-01-26,75562
2025-01-27,66014
2025-01-28,62174
2025-01-29,63430
2025-01-30,63608
2025-01-31,85646
2025-02-01,96858
2025-02-02,82829
2025-02-03,75414
2025-02-04,69433
2025-02-05,68299
2025-02-06,75496
2025-02-07,95472
2025-02-08,110574
2025-02-09,83068
2025-02-10,82919
2025-02-11,56092
2025-02-12,43585
2025-02-13,84943
2025-02-14,100597
2025-02-15,113704
2025-02-16,108811
2025-02-17,125616
2025-02-18,24119
2025-02-19,20703
2025-02-20,47259
2025-02-21,71752
2025-02-22,91490
2025-02-23,84226
2025-02-24,77182
2025-02-25,68553
2025-02-26,68980
2025-02-27,70726
2025-02-28,82166
2025-03-01,95606
2025-03-02,91808
2025-03-03,82904
2025-03-04,65218
2025-03-05,66131
2025-03-06,73043
2025-03-07,82812
2025-03-08,91166
2025-03-09,86529
2025-03-10,75643
2025-03-11,69632
2025-03-12,73013
2025-03-13,77090
2025-03-14,85370
2025-03-15,95968
2025-03-16,95901
2025-03-17,80518
2025-03-18,71673
2025-03-19,72080
2025-03-20,81653
2025-03-21,88321
2025-03-22,94437
2025-03-23,91548
2025-03-24,81518
2025-03-25,71856
2025-03-26,72407
2025-03-27,75574
2025-03-28,91028
2025-03-29,89516
2025-03-30,88571
2025-03-31,79769
2025-04-01,87587
2025-04-02,68960
2025-04-03,83486
2025-04-04,77467
2025-04-05,89067
2025-04-06,95398
2025-04-07,84279
2025-04-08,72654
2025-04-09,74843
2025-04-10,78577
2025-04-11,91641
2025-04-12,91433
2025-04-13,88430
2025-04-14,84845
2025-04-15,80896
2025-04-16,82507
2025-04-17,87051
2025-04-18,112810
2025-04-19,113219
2025-04-20,68757
2025-04-21,79692
2025-04-22,73514
2025-04-23,72304
2025-04-24,75274
2025-04-25,89640
2025-04-26,85956
2025-04-27,83138
2025-04-28,75952
2025-04-29,68353
2025-04-30,69193
2025-05-01,86996
2025-05-02,97933
2025-05-03,92454
2025-05-04,86435
2025-05-05,78600
2025-05-06,73452
2025-05-07,74203
2025-05-08,80514
2025-05-09,93788
2025-05-10,93552
2025-05-11,76038
2025-05-12,81700
2025-05-13,75254
2025-05-14,77229
2025-05-15,82151
2025-05-16,89176
2025-05-17,87322
2025-05-18,86716
2025-05-19,75175
2025-05-20,81333
2025-05-21,79084
2025-05-22,89170
2025-05-23,106738
2025-05-24,99228
2025-05-25,86178
2025-05-26,82527
2025-05-27,81222
2025-05-28,80541
2025-05-29,81008
2025-05-30,95301
2025-05-31,89741
2025-06-01,96290
2025-06-02,91670
2025-06-03,85299
2025-06-04,81867
2025-06-05,87348
2025-06-06,97197
2025-06-07,101373
2025-06-08,93246
2025-06-09,92668
2025-06-10,83532
2025-06-11,82243
2025-06-12,87242
2025-06-13,99411
2025-06-14,103782
2025-06-15,92165
2025-06-16,87456
2025-06-17,83415
2025-06-18,91356
2025-06-19,95114
2025-06-20,104273
2025-06-21,104399
2025-06-22,100405
2025-06-23,94554
2025-06-24,87977
