date,demand
2022-03-01,48
2022-03-02,60
2022-03-03,48
2022-03-04,71
2022-03-05,44
2022-03-06,23
2022-03-07,46
2022-03-08,41
2022-03-09,70
2022-03-10,51
2022-03-11,56
2022-03-12,48
2022-03-13,17
2022-03-14,67
2022-03-15,47
2022-03-16,49
2022-03-17,45
2022-03-18,56
2022-03-19,47
2022-03-20,17
2022-03-21,54
2022-03-22,52
2022-03-23,61
2022-03-24,47
2022-03-25,72
2022-03-26,53
2022-03-27,29
2022-03-28,44
2022-03-29,49
2022-03-30,46
2022-03-31,49
2022-04-01,56
2022-04-02,46
2022-04-03,40
2022-04-04,58
2022-04-05,48
2022-04-06,49
2022-04-07,50
2022-04-08,66
2022-04-09,48
2022-04-10,37
2022-04-11,45
2022-04-12,53
2022-04-13,61
2022-04-14,55
2022-04-15,66
2022-04-16,32
2022-04-17,35
2022-04-18,44
2022-04-19,45
2022-04-20,55
2022-04-21,53
2022-04-22,62
2022-04-23,50
2022-04-24,37
2022-04-25,47
2022-04-26,51
2022-04-27,51
2022-04-28,46
2022-04-29,63
2022-04-30,56
2022-05-01,26
2022-05-02,43
2022-05-03,46
2022-05-04,60
2022-05-05,44
2022-05-06,59
2022-05-07,57
2022-05-08,35
2022-05-09,60
2022-05-10,60
2022-05-11,45
2022-05-12,42
2022-05-13,55
2022-05-14,54
2022-05-15,25
2022-05-16,39
2022-05-17,63
2022-05-18,44
2022-05-19,53
2022-05-20,46
2022-05-21,81
2022-05-22,33
2022-05-23,51
2022-05-24,46
2022-05-25,51
2022-05-26,58
2022-05-27,62
2022-05-28,56
2022-05-29,61
2022-05-30,60
2022-05-31,49
2022-06-01,55
2022-06-02,68
2022-06-03,56
2022-06-04,40
2022-06-05,46
2022-06-06,48
2022-06-07,52
2022-06-08,51
2022-06-09,58
2022-06-10,55
2022-06-11,50
2022-06-12,28
2022-06-13,37
2022-06-14,66
2022-06-15,55
2022-06-16,53
2022-06-17,51
2022-06-18,32
2022-06-19,30
2022-06-20,43
2022-06-21,56
2022-06-22,165
2022-06-23,60
2022-06-24,63
2022-06-25,50
2022-06-26,32
2022-06-27,50
2022-06-28,49
2022-06-29,47
2022-06-30,38
2022-07-01,50
2022-07-02,50
2022-07-03,40
2022-07-04,50
2022-07-05,35
2022-07-06,51
2022-07-07,64
2022-07-08,65
2022-07-09,68
2022-07-10,44
2022-07-11,49
2022-07-12,65
2022-07-13,66
2022-07-14,49
2022-07-15,62
2022-07-16,51
2022-07-17,28
2022-07-18,51
2022-07-19,50
2022-07-20,47
2022-07-21,49
2022-07-22,60
2022-07-23,39
2022-07-24,29
2022-07-25,68
2022-07-26,47
2022-07-27,64
2022-07-28,64
2022-07-29,56
2022-07-30,52
2022-07-31,28
2022-08-01,57
2022-08-02,46
2022-08-03,86
2022-08-04,54
2022-08-05,101
2022-08-06,80
2022-08-07,53
2022-08-08,82
2022-08-09,79
2022-08-10,63
2022-08-11,83
2022-08-12,109
2022-08-13,82
2022-08-14,75
2022-08-15,69
2022-08-16,70
2022-08-17,66
2022-08-18,89
2022-08-19,80
2022-08-20,107
2022-08-21,51
2022-08-22,60
2022-08-23,57
2022-08-24,81
2022-08-25,85
2022-08-26,86
2022-08-27,74
2022-08-28,55
2022-08-29,40
2022-08-30,42
2022-08-31,54
2022-09-01,47
2022-09-02,61
2022-09-03,39
2022-09-04,18
2022-09-05,43
2022-09-06,50
2022-09-07,50
2022-09-08,49
2022-09-09,49
2022-09-10,35
2022-09-11,40
2022-09-12,81
2022-09-13,40
2022-09-14,33
2022-09-15,37
2022-09-16,63
2022-09-17,41
2022-09-18,35
2022-09-19,17
2022-09-20,36
2022-09-21,41
2022-09-22,45
2022-09-23,33
2022-09-24,34
2022-09-25,24
2022-09-26,37
2022-09-27,36
2022-09-28,37
2022-09-29,41
2022-09-30,59
2022-10-01,69
2022-10-02,26
2022-10-03,34
2022-10-04,42
2022-10-05,39
2022-10-06,57
2022-10-07,59
2022-10-08,50
2022-10-09,18
2022-10-10,50
2022-10-11,47
2022-10-12,34
2022-10-13,39
2022-10-14,46
2022-10-15,55
2022-10-16,23
2022-10-17,29
2022-10-18,38
2022-10-19,40
2022-10-20,44
2022-10-21,49
2022-10-22,66
2022-10-23,40
2022-10-24,50
2022-10-25,56
2022-10-26,64
2022-10-27,71
2022-10-28,61
2022-10-29,193
2022-10-30,21
2022-10-31,58
2022-11-01,44
2022-11-02,38
2022-11-03,23
2022-11-04,26
2022-11-05,152
2022-11-06,27
2022-11-07,38
2022-11-08,48
2022-11-09,44
2022-11-10,59
2022-11-11,52
2022-11-12,54
2022-11-13,162
2022-11-14,34
2022-11-15,47
2022-11-16,47
2022-11-17,44
2022-11-18,71
2022-11-19,142
2022-11-20,27
2022-11-21,44
2022-11-22,44
2022-11-23,71
2022-11-24,56
2022-11-25,84
2022-11-26,56
2022-11-27,36
2022-11-28,49
2022-11-29,40
2022-11-30,55
2022-12-01,39
2022-12-02,73
2022-12-03,48
2022-12-04,37
2022-12-05,41
2022-12-06,47
2022-12-07,58
2022-12-08,39
2022-12-09,68
2022-12-10,54
2022-12-11,63
2022-12-12,61
2022-12-13,57
2022-12-14,73
2022-12-15,54
2022-12-16,87
2022-12-17,76
2022-12-18,42
2022-12-19,48
2022-12-20,40
2022-12-21,44
2022-12-22,45
2022-12-23,45
2022-12-24,36
2022-12-25,10
2022-12-26,21
2022-12-27,55
2022-12-28,42
2022-12-29,56
2022-12-30,119
2022-12-31,64
2023-01-01,21
2023-01-02,48
2023-01-03,28
2023-01-04,35
2023-01-05,34
2023-01-06,43
2023-01-07,36
2023-01-08,16
2023-01-09,34
2023-01-10,32
2023-01-11,33
2023-01-12,39
2023-01-13,63
2023-01-14,39
2023-01-15,18
2023-01-16,32
2023-01-17,37
2023-01-18,71
2023-01-19,28
2023-01-20,42
2023-01-21,42
2023-01-22,40
2023-01-23,37
2023-01-24,32
2023-01-25,44
2023-01-26,40
2023-01-27,47
2023-01-28,37
2023-01-29,18
2023-01-30,27
2023-01-31,31
2023-02-01,56
2023-02-02,33
2023-02-03,60
2023-02-04,35
2023-02-05,19
2023-02-06,35
2023-02-07,40
2023-02-08,37
2023-02-09,42
2023-02-10,53
2023-02-11,123
2023-02-12,26
2023-02-13,38
2023-02-14,35
2023-02-15,22
2023-02-16,27
2023-02-17,25
2023-02-18,31
2023-02-19,17
2023-02-20,28
2023-02-21,27
2023-02-22,30
2023-02-23,27
2023-02-24,43
2023-02-25,36
2023-02-26,23
2023-02-27,28
2023-02-28,25
2023-03-01,29
2023-03-02,27
2023-03-03,33
2023-03-04,43
2023-03-05,16
2023-03-06,34
2023-03-07,33
2023-03-08,28
2023-03-09,39
2023-03-10,34
2023-03-11,38
2023-03-12,122
2023-03-13,34
2023-03-14,17
2023-03-15,31
2023-03-16,37
2023-03-17,34
2023-03-18,139
2023-03-19,20
2023-03-20,32
2023-03-21,26
2023-03-22,38
2023-03-23,32
2023-03-24,54
2023-03-25,86
2023-03-26,56
2023-03-27,30
2023-03-28,37
2023-03-29,41
2023-03-30,33
2023-03-31,38
2023-04-01,43
2023-04-02,34
2023-04-03,38
2023-04-04,48
2023-04-05,38
2023-04-06,42
2023-04-07,43
2023-04-08,54
2023-04-09,29
2023-04-10,39
2023-04-11,35
2023-04-12,51
2023-04-13,55
2023-04-14,51
2023-04-15,48
2023-04-16,32
2023-04-17,35
2023-04-18,44
2023-04-19,61
2023-04-20,46
2023-04-21,48
2023-04-22,48
2023-04-23,19
2023-04-24,37
2023-04-25,48
2023-04-26,45
2023-04-27,49
2023-04-28,49
2023-04-29,57
2023-04-30,32
2023-05-01,30
2023-05-02,40
2023-05-03,54
2023-05-04,68
2023-05-05,64
2023-05-06,62
2023-05-07,42
2023-05-08,20
2023-05-09,38
2023-05-10,46
2023-05-11,41
2023-05-12,44
2023-05-13,29
2023-05-14,27
2023-05-15,55
2023-05-16,41
2023-05-17,69
2023-05-18,43
2023-05-19,54
2023-05-20,290
2023-05-21,29
2023-05-22,37
2023-05-23,40
2023-05-24,43
2023-05-25,46
2023-05-26,290
2023-05-27,278
2023-05-28,68
2023-05-29,51
2023-05-30,299
2023-05-31,83
2023-06-01,60
2023-06-02,66
2023-06-03,40
2023-06-04,33
2023-06-05,48
2023-06-06,57
2023-06-07,50
2023-06-08,40
2023-06-09,43
2023-06-10,32
2023-06-11,19
2023-06-12,35
2023-06-13,41
2023-06-14,49
2023-06-15,33
2023-06-16,32
2023-06-17,36
2023-06-18,23
2023-06-19,37
2023-06-20,44
2023-06-21,46
2023-06-22,40
2023-06-23,58
2023-06-24,37
2023-06-25,30
2023-06-26,37
2023-06-27,37
2023-06-28,48
2023-06-29,35
2023-06-30,45
2023-07-01,42
2023-07-02,33
2023-07-03,42
2023-07-04,48
2023-07-05,61
2023-07-06,52
2023-07-07,70
2023-07-08,44
2023-07-09,38
2023-07-10,38
2023-07-11,39
2023-07-12,37
2023-07-13,63
2023-07-14,59
2023-07-15,32
2023-07-16,28
2023-07-17,35
2023-07-18,44
2023-07-19,271
2023-07-20,46
2023-07-21,61
2023-07-22,38
2023-07-23,26
2023-07-24,46
2023-07-25,51
2023-07-26,43
2023-07-27,50
2023-07-28,46
2023-07-29,190
2023-07-30,83
2023-07-31,40
2023-08-01,52
2023-08-02,52
2023-08-03,64
2023-08-04,89
2023-08-05,220
2023-08-06,33
2023-08-07,72
2023-08-08,65
2023-08-09,62
2023-08-10,56
2023-08-11,74
2023-08-12,59
2023-08-13,58
2023-08-14,53
2023-08-15,45
2023-08-16,88
2023-08-17,86
2023-08-18,87
2023-08-19,63
2023-08-20,68
2023-08-21,54
2023-08-22,59
2023-08-23,81
2023-08-24,93
2023-08-25,105
2023-08-26,220
2023-08-27,39
2023-08-28,51
2023-08-29,62
2023-08-30,52
2023-08-31,45
2023-09-01,63
2023-09-02,63
2023-09-03,49
2023-09-04,52
2023-09-05,37
2023-09-06,47
2023-09-07,53
2023-09-08,48
2023-09-09,53
2023-09-10,23
2023-09-11,42
2023-09-12,41
2023-09-13,51
2023-09-14,57
2023-09-15,55
2023-09-16,71
2023-09-17,52
2023-09-18,41
2023-09-19,42
2023-09-20,50
2023-09-21,57
2023-09-22,51
2023-09-23,53
2023-09-24,29
2023-09-25,42
2023-09-26,43
2023-09-27,38
2023-09-28,61
2023-09-29,61
2023-09-30,49
2023-10-01,31
2023-10-02,41
2023-10-03,46
2023-10-04,55
2023-10-05,48
2023-10-06,47
2023-10-07,96
2023-10-08,33
2023-10-09,49
2023-10-10,41
2023-10-11,41
2023-10-12,32
2023-10-13,45
2023-10-14,39
2023-10-15,31
2023-10-16,40
2023-10-17,48
2023-10-18,41
2023-10-19,50
2023-10-20,78
2023-10-21,50
2023-10-22,51
2023-10-23,49
2023-10-24,54
2023-10-25,73
2023-10-26,63
2023-10-27,61
2023-10-28,73
2023-10-29,20
2023-10-30,64
2023-10-31,46
2023-11-01,49
2023-11-02,55
2023-11-03,67
2023-11-04,52
2023-11-05,32
2023-11-06,49
2023-11-07,49
2023-11-08,40
2023-11-09,30
2023-11-10,46
2023-11-11,68
2023-11-12,26
2023-11-13,49
2023-11-14,39
2023-11-15,42
2023-11-16,67
2023-11-17,64
2023-11-18,68
2023-11-19,36
2023-11-20,48
2023-11-21,38
2023-11-22,38
2023-11-23,53
2023-11-24,68
2023-11-25,109
2023-11-26,47
2023-11-27,47
2023-11-28,51
2023-11-29,54
2023-11-30,54
2023-12-01,89
2023-12-02,76
2023-12-03,61
2023-12-04,54
2023-12-05,92
2023-12-06,96
2023-12-07,70
2023-12-08,80
2023-12-09,74
2023-12-10,62
2023-12-11,74
2023-12-12,45
2023-12-13,66
2023-12-14,58
2023-12-15,73
2023-12-16,99
2023-12-17,70
2023-12-18,59
2023-12-19,65
2023-12-20,49
2023-12-21,67
2023-12-22,72
2023-12-23,85
2023-12-24,44
2023-12-25,13
2023-12-26,38
