date,demand
2023-01-02,18493
2023-01-03,13719
2023-01-04,14385
2023-01-05,13910
2023-01-06,24738
2023-01-07,29187
2023-01-08,17656
2023-01-09,13786
2023-01-10,13248
2023-01-11,14184
2023-01-12,18789
2023-01-13,29890
2023-01-14,29676
2023-01-15,26899
2023-01-16,16138
2023-01-17,14583
2023-01-18,14355
2023-01-19,15354
2023-01-20,27095
2023-01-21,32605
2023-01-22,21163
2023-01-23,13734
2023-01-24,12305
2023-01-25,13684
2023-01-26,17539
2023-01-27,26320
2023-01-28,17995
2023-01-29,19789
2023-01-30,7740
2023-01-31,846
2023-02-01,846
2023-02-02,11765
2023-02-03,26601
2023-02-04,30193
2023-02-05,23984
2023-02-06,12984
2023-02-07,12850
2023-02-08,14776
2023-02-09,18115
2023-02-10,26959
2023-02-11,29217
2023-02-12,17173
2023-02-13,12692
2023-02-14,27092
2023-02-15,13924
2023-02-16,15708
2023-02-17,27838
2023-02-18,33988
2023-02-19,23494
2023-02-20,13937
2023-02-21,14424
2023-02-22,14165
2023-02-23,16993
2023-02-24,27369
2023-02-25,32540
2023-02-26,24720
2023-02-27,14123
2023-02-28,17490
2023-03-01,15258
2023-03-02,12304
2023-03-03,32134
2023-03-04,30464
2023-03-05,23176
2023-03-06,14395
2023-03-07,15001
2023-03-08,17894
2023-03-09,16689
2023-03-10,35542
2023-03-11,30508
2023-03-12,22604
2023-03-13,18898
2023-03-14,20432
2023-03-15,19598
2023-03-16,16148
2023-03-17,32269
2023-03-18,31936
2023-03-19,24265
2023-03-20,14078
2023-03-21,16587
2023-03-22,15124
2023-03-23,17259
2023-03-24,25710
2023-03-25,29647
2023-03-26,23412
2023-03-27,12363
2023-03-28,15929
2023-03-29,17359
2023-03-30,16288
2023-03-31,25708
2023-04-01,31099
2023-04-02,20997
2023-04-03,14653
2023-04-04,17648
2023-04-05,15950
2023-04-06,18661
2023-04-07,29702
2023-04-08,29087
2023-04-09,19444
2023-04-10,13063
2023-04-11,13431
2023-04-12,13611
2023-04-13,17107
2023-04-14,29181
2023-04-15,32517
2023-04-16,21108
2023-04-17,11416
2023-04-18,14320
2023-04-19,16272
2023-04-20,15059
2023-04-21,25128
2023-04-22,26845
2023-04-23,22035
2023-04-24,13004
2023-04-25,16756
2023-04-26,12964
2023-04-27,20866
2023-04-28,21247
2023-04-29,30814
2023-04-30,21958
2023-05-01,13843
2023-05-02,14789
2023-05-03,14810
2023-05-04,14173
2023-05-05,21839
2023-05-06,25317
2023-05-07,21812
2023-05-08,15617
2023-05-09,13534
2023-05-10,19969
2023-05-11,16471
2023-05-12,25394
2023-05-13,33591
2023-05-14,36724
2023-05-15,15526
2023-05-16,16713
2023-05-17,15378
2023-05-18,16470
2023-05-19,25975
2023-05-20,25308
2023-05-21,19274
2023-05-22,11666
2023-05-23,16069
2023-05-24,18250
2023-05-25,20366
2023-05-26,26306
2023-05-27,23989
2023-05-28,28182
2023-05-29,18058
2023-05-30,12871
2023-05-31,16220
2023-06-01,18242
2023-06-02,23070
2023-06-03,24765
2023-06-04,21197
2023-06-05,12478
2023-06-06,17475
2023-06-07,14076
2023-06-08,17247
2023-06-09,27217
2023-06-10,18599
2023-06-11,17948
2023-06-12,12510
2023-06-13,14540
2023-06-14,14068
2023-06-15,15600
2023-06-16,26084
2023-06-17,24889
2023-06-18,33494
2023-06-19,15532
2023-06-20,15253
2023-06-21,15841
2023-06-22,16216
2023-06-23,22550
2023-06-24,23444
2023-06-25,21339
2023-06-26,14788
2023-06-27,14226
2023-06-28,17216
2023-06-29,19644
2023-06-30,24999
2023-07-01,24000
2023-07-02,21807
2023-07-03,17616
2023-07-04,12610
2023-07-05,12402
2023-07-06,16471
2023-07-07,22813
2023-07-08,24146
2023-07-09,19919
2023-07-10,14659
2023-07-11,15650
2023-07-12,17950
2023-07-13,18137
2023-07-14,26532
2023-07-15,27012
2023-07-16,19924
2023-07-17,17805
2023-07-18,15717
2023-07-19,14391
2023-07-20,20714
2023-07-21,24759
2023-07-22,28020
2023-07-23,21357
2023-07-24,14875
2023-07-25,18378
2023-07-26,16689
2023-07-27,20768
2023-07-28,26243
2023-07-29,27040
2023-07-30,23164
2023-07-31,14702
2023-08-01,16700
2023-08-02,15721
2023-08-03,17825
2023-08-04,25078
2023-08-05,28559
2023-08-06,22829
2023-08-07,13895
2023-08-08,16632
2023-08-09,18417
2023-08-10,16566
2023-08-11,26355
2023-08-12,24305
2023-08-13,21176
2023-08-14,14276
2023-08-15,16813
2023-08-16,16754
2023-08-17,16327
2023-08-18,25321
2023-08-19,28259
2023-08-20,20362
2023-08-21,11909
2023-08-22,14165
2023-08-23,15243
2023-08-24,16345
2023-08-25,24719
2023-08-26,24124
2023-08-27,18231
2023-08-28,11301
2023-08-29,12234
2023-08-30,13326
2023-08-31,14293
2023-09-01,21797
2023-09-02,22941
2023-09-03,20653
2023-09-04,17203
2023-09-05,11423
2023-09-06,11220
2023-09-07,13992
2023-09-08,21235
2023-09-09,25617
2023-09-10,19619
2023-09-11,13085
2023-09-12,13676
2023-09-13,14277
2023-09-14,16203
2023-09-15,23129
2023-09-16,27988
2023-09-17,18333
2023-09-18,12479
2023-09-19,14286
2023-09-20,15176
2023-09-21,13338
2023-09-22,23774
2023-09-23,25572
2023-09-24,20291
2023-09-25,9982
2023-09-26,12964
2023-09-27,13816
2023-09-28,16775
2023-09-29,25697
2023-09-30,29573
2023-10-01,19506
2023-10-02,13348
2023-10-03,13765
2023-10-04,12647
2023-10-05,17134
2023-10-06,22945
2023-10-07,26093
2023-10-08,20032
2023-10-09,13984
2023-10-10,12872
2023-10-11,13979
2023-10-12,19683
2023-10-13,24525
2023-10-14,25320
2023-10-15,20151
2023-10-16,14025
2023-10-17,13509
2023-10-18,14340
2023-10-19,16852
2023-10-20,25047
2023-10-21,25539
2023-10-22,21693
2023-10-23,13261
2023-10-24,11440
2023-10-25,14457
2023-10-26,15172
2023-10-27,20105
2023-10-28,26138
2023-10-29,19193
2023-10-30,14048
2023-10-31,15916
2023-11-01,17630
2023-11-02,15480
2023-11-03,25120
2023-11-04,23765
2023-11-05,18227
2023-11-06,10502
2023-11-07,13060
2023-11-08,14678
2023-11-09,14506
2023-11-10,26405
2023-11-11,28108
2023-11-12,20036
2023-11-13,11968
2023-11-14,15210
2023-11-15,12563
2023-11-16,16199
2023-11-17,23748
2023-11-18,25884
2023-11-19,19844
2023-11-20,15651
2023-11-21,18088
2023-11-22,19299
2023-11-23,846
2023-11-24,22030
2023-11-25,22420
2023-11-26,18574
2023-11-27,10685
2023-11-28,13595
2023-11-29,13754
2023-11-30,17032
2023-12-01,23678
2023-12-02,26807
2023-12-03,19850
2023-12-04,11733
2023-12-05,15355
2023-12-06,15904
2023-12-07,14943
2023-12-08,26395
2023-12-09,28742
2023-12-10,21890
2023-12-11,14259
2023-12-12,15374
2023-12-13,15532
2023-12-14,18486
2023-12-15,28252
2023-12-16,28920
2023-12-17,26098
2023-12-18,16376
2023-12-19,16848
2023-12-20,22969
2023-12-21,24981
2023-12-22,26818
2023-12-23,22217
2023-12-24,18036
2023-12-25,846
2023-12-26,18704
2023-12-27,17756
2023-12-28,19402
2023-12-29,27405
2023-12-30,25241
2023-12-31,18794
2024-01-01,14472
2024-01-02,12653
2024-01-03,16147
2024-01-04,15487
2024-01-05,22401
2024-01-06,25196
2024-01-07,17740
2024-01-08,10751
2024-01-09,12886
2024-01-10,12043
2024-01-11,15361
2024-01-12,21843
2024-01-13,24543
2024-01-14,11790
2024-01-15,8728
2024-01-16,11816
2024-01-17,12546
2024-01-18,15838
2024-01-19,25243
2024-01-20,32118
2024-01-21,19430
2024-01-22,10775
2024-01-23,15098
2024-01-24,14301
2024-01-25,15937
2024-01-26,23949
2024-01-27,31637
2024-01-28,18466
2024-01-29,12500
2024-01-30,14480
2024-01-31,15605
2024-02-01,15459
2024-02-02,22567
2024-02-03,30270
2024-02-04,19448
2024-02-05,13424
2024-02-06,15227
2024-02-07,12013
2024-02-08,16084
2024-02-09,26652
2024-02-10,27708
2024-02-11,16091
2024-02-12,13256
2024-02-13,14525
2024-02-14,29677
2024-02-15,17453
2024-02-16,29332
2024-02-17,32674
2024-02-18,22245
2024-02-19,15357
2024-02-20,13125
2024-02-21,15136
2024-02-22,16163
2024-02-23,25089
2024-02-24,32190
2024-02-25,23210
