iata,icao,unlocode,place_id,place_name,place_region,place_country
AAA,NTGA,PFAAA,4033243,Tukuhora,,PF
AAC,HEAR,EGAAC,361546,Al ‘Arīsh,North Sinai,EG
AAE,DABB,DZAAE,2506999,Annaba,Annaba,DZ
AAF,KAAF,USAAF,4146148,Apalachicola,Florida,US
AAG,SSYA,BRAAG,3471795,Arapoti,Paraná,BR
AAH,EDKA,DEAAH,3247449,Aachen,North Rhine-Westphalia,DE
AAI,SWRA,BRAAI,3471448,Arraias,Tocantins,BR
AAJ,SMCA,SRAAJ,3384678,Awa Dam,Sipaliwini,SR
AAK,NGUK,KIAAK,7576713,Buariki Village,Gilbert Islands,KI
AAL,EKYT,DKAAL,2624886,Aalborg,North Denmark,DK
AAM,FAMD,ZAAAM,953742,Sparta,Mpumalanga,ZA
AAN,OMAL,AEAAN,292913,Al Ain,Abu Dhabi,AE
AAO,SVAN,VEAAO,3486270,Anaco,Anzoátegui,VE
AAQ,URKA,RUAAQ,582182,Anapa,Krasnodarskiy,RU
AAR,EKAH,DKAAR,2624652,Århus,Central Jutland,DK
AAS,,IDAAS,11012571,Kobakma,Papua,ID
AAT,ZWAT,CNAAT,1529651,Altay,Xinjiang Uyghur Autonomous Region,CN
AAU,NSAU,WSAAU,7106456,Asau,Vaisigano,WS
AAV,RPMA,PHAAV,1685230,Surallah,Soccsksargen,PH
AAX,SBAX,BRAAX,3471691,Araxá,Minas Gerais,BR
AAY,OYGD,YEAAY,7620599,Bin Ḩajlah,Al Mahrah,YE
AAZ,MGQZ,GTAAZ,3590979,Quetzaltenango,Quetzaltenango,GT
ABA,UNAA,,1512236,Abakan,Khakasiya,RU
ABB,DNAS,,7081227,Ugboru,Delta,NG
ABC,LEAB,,2522258,Albacete,Castille-La Mancha,ES
ABD,OIAA,,145459,Ābādān,Khuzestan,IR
ABE,KABE,USBEX,5178127,Allentown,Pennsylvania,US
ABF,NGAB,KIABF,2110033,Tuarabu Village,Gilbert Islands,KI
ABH,YAPH,AUABH,2178011,Alpha,Queensland,AU
ABI,KABI,USABI,4669635,Abilene,Texas,US
ABJ,DIAP,CIABJ,2293538,Abidjan,Lagunes,CI
ABK,HAKD,ETABK,333516,Kebri Dahar,Somali,ET
ABL,PAFM,USABL,5879302,Ambler,Alaska,US
ABM,YNPE,AUABM,2177023,Bamaga,Queensland,AU
ABN,SMBN,SRABN,3384792,Albina,Marowijne,SR
ABO,DIAO,CIABO,2293507,Aboisso,Comoé,CI
ABP,,PGABP,2100415,Atbit,Western Province,PG
ABQ,KABQ,USABQ,5454711,Albuquerque,New Mexico,US
ABR,KABR,USABR,5225857,Aberdeen,South Dakota,US
ABS,HEBL,EGABS,362041,Abū Sunbul,Aswan,EG
ABT,OEBA,SAABT,110060,Al ‘Aqīq,,SA
ABU,WATA,,1651103,Atambua,East Nusa Tenggara,ID
ABV,DNAA,NGABV,2352778,Abuja,Abuja Federal Capital Territory,NG
ABW,,PGABW,2133931,Badubadu,Central Province,PG
ABX,YMAY,AUABX,2178174,Albury,New South Wales,AU
ABY,KABY,USABY,4179320,Albany,Georgia,US
ABZ,EGPD,GBABD,2657832,Aberdeen,Scotland,GB
ACA,MMAA,MXACA,3533462,Acapulco de Juárez,Guerrero,MX
ACB,KACB,USACB,4985583,Bellaire,Michigan,US
ACC,DGAA,GHACC,2306104,Accra,Greater Accra,GH
ACD,SKAD,COACD,3690572,Acandí,Chocó,CO
ACE,GCRR,ESACE,2521570,Arrecife,Canary Islands,ES
ACH,LSZR,CHATR,6620245,Thal,Saint Gallen,CH
ACI,EGJA,GGACI,3042289,St Anne,,GG
ACJ,VCCA,,1251081,Anuradhapura,North Central,LK
ACK,KACK,USACK,4944903,Nantucket,Massachusetts,US
ACL,,COACL,3690456,Aguaclara,Casanare,CO
ACM,,,3689594,Puerto Arica,Amazonas,CO
ACN,MMCC,MXACN,4013728,Ciudad Acuña,Coahuila,MX
ACP,OITM,IRACP,124877,Marāgheh,East Azerbaijan,IR
ACR,SKAC,COACR,3689732,Puerto Santander,Amazonas,CO
ACS,UNKS,RUACS,1512165,Achinsk,Krasnoyarskiy,RU
ACT,KACT,USACT,4739526,Waco,Texas,US
ACU,,PAACU,3701164,Santa Marta,Darién,PA
ACV,KACV,USACV,5558953,Arcata,California,US
ACX,ZUYI,CNACX,1807566,Xingyi,Guizhou,CN
ACY,KACY,,4500546,Atlantic City,New Jersey,US
ACZ,OIZB,IRACZ,1161451,Deh-e Dargī,Sistan and Baluchestan,IR
ADA,LTAF,TRADA,325363,Adana,Adana,TR
ADB,LTBJ,TRADB,311046,İzmir,İzmir,TR
ADC,AYAN,PGADC,2100827,Andakombe,Eastern Highlands,PG
ADD,HAAB,ETADD,344979,Addis Ababa,Addis Ababa,ET
ADE,OYAA,YEADE,415189,Aden,Aden,YE
ADF,LTCP,,325330,Adıyaman,Adıyaman,TR
ADG,KADG,USADG,4983811,Adrian,Michigan,US
ADH,UEEA,RUADH,2027968,Aldan,Sakha,RU
ADI,FYAR,NAADI,3358670,Arandis,Erongo,NA
ADJ,OJAM,,250441,Amman,Amman,JO
ADK,PADK,USADK,5878818,Adak,Alaska,US
ADL,YPAD,AUADL,2078025,Adelaide,South Australia,AU
ADM,KADM,USADM,4529469,Ardmore,Oklahoma,US
ADN,,,3689899,Andes,Antioquia,CO
ADO,YAMK,AUADO,6941403,Andamooka,South Australia,AU
ADP,VCCG,LKADP,1251459,Ampara,Eastern Province,LK
ADQ,PADQ,USADQ,5866583,Kodiak,Alaska,US
ADR,KPHH,USADR,4569362,Andrews,South Carolina,US
ADS,KADS,,4684888,Dallas,Texas,US
ADT,KADH,,4529096,Ada,Oklahoma,US
ADU,OITL,IRADU,143083,Ardabīl,Ardabīl,IR
ADV,,,380148,El Daein,Eastern Darfur,SD
ADW,KADW,USADW,7257935,Andrews AFB,Maryland,US
ADX,EGQL,GBSNW,2638864,Saint Andrews,Scotland,GB
ADY,FAAL,ZAADY,1023281,Alldays,Limpopo,ZA
ADZ,SKSP,COADZ,3670218,San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO
AEA,NGTB,KIAEA,2110111,Tabiang Village,Gilbert Islands,KI
AEB,ZGBS,,1816269,Baise City,Guangxi Zhuang Autonomous Region,CN
AED,,USAED,5879155,Aleneva,Alaska,US
AEE,,,377785,Ban Donige,Upper Nile,SS
AEG,WIME,IDAEG,1215623,Aekgadang,North Sumatra,ID
AEH,FTTC,TDAEH,245164,Arkou,Ouadaï,TD
AEI,LEAG,,2522013,Algeciras,Andalusia,ES
AEK,AYAX,PGAEK,2100468,Aseki,Morobe,PG
AEL,KAEL,USAEL,5016024,Albert Lea,Minnesota,US
AEO,GQNA,MRAEO,2381291,Aioun,Hodh El Gharbi,MR
AEP,SABE,ARAEP,3435910,Buenos Aires,Buenos Aires F.D.,AR
AER,URSS,RUAER,491422,Sochi,Krasnodarskiy,RU
AES,ENAL,NOAES,3163392,Ålesund,Møre og Romsdal,NO
AET,PFAL,USAET,5879223,Allakaket,Alaska,US
AEU,OIBA,IRAEU,400747,Abū Mūsā,Hormozgan,IR
AEX,KAEX,,4314550,Alexandria,Louisiana,US
AEY,BIAR,ISAEY,2633274,Akureyri,Northeast,IS
AFA,SAMR,ARAFA,3836669,San Rafael,Mendoza Province,AR
AFD,FAPA,ZAAFD,964432,Port Alfred,Eastern Cape,ZA
AFF,KAFF,,5417598,Colorado Springs,Colorado,US
AFI,SKAM,COAFI,3690010,Amalfi,Antioquia,CO
AFL,SBAT,BRAFL,6316343,Alta Floresta,Mato Grosso,BR
AFN,KAFN,USAFN,5088061,Jaffrey,New Hampshire,US
AFO,KAFO,USAFO,5816861,Afton,Wyoming,US
AFR,AYAF,PGAFR,2101332,Afore,Northern Province,PG
AFS,UTSN,,1538230,Zarafshan,Navoiy,UZ
AFT,AGAF,SBAFT,2109972,Afutara,Malaita,SB
AFW,KAFW,,4691930,Fort Worth,Texas,US
AFY,LTAH,TRAFY,325303,Afyonkarahisar,Afyonkarahisar,TR
AFZ,OIMS,IRAFZ,118063,Sabzawār,Razavi Khorasan,IR
AGA,GMAD,MAAGA,2561668,Agadir,Souss-Massa-Drâa,MA
AGB,EDMA,,2954172,Augsburg,Bavaria,DE
AGC,KAGC,,5206379,Pittsburgh,Pennsylvania,US
AGD,WASG,IDAGD,8530672,Briejeje,West Papua,ID
AGE,EDWG,DEAGE,2814266,Wangerooge,Lower Saxony,DE
AGF,LFBA,FRAGF,3038634,Agen,Aquitaine-Limousin-Poitou-Charentes,FR
AGH,ESTA,SEAGH,2725901,Ängelholm,Skåne,SE
AGI,SMWA,SRAGI,3382783,Wageningen,Nickerie,SR
AGJ,RORA,JPAGJ,1862855,Higashi,Okinawa,JP
AGK,,,2095091,Kagua,Southern Highlands,PG
AGL,AYWG,PGAGL,2094895,Wanigela,Northern Province,PG
AGM,BGAM,GLAGM,3424607,Tasiilaq,Sermersooq,GL
AGN,PAGN,USAGN,5844374,Angoon,Alaska,US
AGO,KAGO,USAGO,4120323,Magnolia,Arkansas,US
AGP,LEMG,ESAGP,2514256,Málaga,Andalusia,ES
AGQ,LGAG,,265560,Agrínio,West Greece,GR
AGR,VIAG,INAGR,1279259,Āgra,Uttar Pradesh,IN
